lit_id,target_ref,target_type,source_book,source_chapter,author_ref,quality_rank,quote,source_text,literature_ref,evaluation_type
lit_02461f61,白馬寺寶台樣,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，月長生畫 。,右五卷，月長生畫 。,《贞观公私画史》,Catalog/Authentication
lit_9eab6205,南朝貴戚圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，月長生畫 。,右五卷，月長生畫 。,《贞观公私画史》,Catalog/Authentication
lit_ba8fd463,車馬圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，月長生畫 。,右五卷，月長生畫 。,《贞观公私画史》,Catalog/Authentication
lit_39d170f4,駱簡像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，月長生畫 。,右五卷，月長生畫 。,《贞观公私画史》,Catalog/Authentication
lit_1019b66a,牛車圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，月長生畫 。,右五卷，月長生畫 。,《贞观公私画史》,Catalog/Authentication
lit_bf7af320,山陰王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，月長生畫 。,右五卷，月長生畫 。,《贞观公私画史》,Catalog/Authentication
lit_a61d1410,名臣像一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,此卷《梁太清目》所無,名臣像一卷（此卷《梁太清目》所無）,《梁太清目》,Not Recorded
lit_aca7713d,蘇門先生圖一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，濮萬年畫 。,右二卷，濮萬年畫 。,《贞观公私画史》,Catalog/Authentication
lit_28d367a2,名臣像一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，濮萬年畫 。,右二卷，濮萬年畫 。,《贞观公私画史》,Catalog/Authentication
lit_b1e6e777,維摩詰變相圖一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《梁太清目》所無,維摩詰變相圖一卷（《梁太清目》所無）,《梁太清目》,Not Recorded
lit_541f39e5,維摩詰變相圖一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右一卷，張墨畫，隋朝官本 。,右一卷，張墨畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_aa55955e,蘇武圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，蔡斌畫 。,右二卷，蔡斌畫 。,《贞观公私画史》,Catalog/Authentication
lit_e476f2ee,游仙圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，蔡斌畫 。,右二卷，蔡斌畫 。,《贞观公私画史》,Catalog/Authentication
